date;jour;b1;b2;b3;b4;b5;chance;d1;d2;d3;d4;d5
2009-05-30;SAMEDI;10;14;25;30;34;9;30;25;34;14;10
2009-06-01;LUNDI;18;24;26;35;47;1;18;26;47;24;35
2009-06-03;MERCREDI;14;21;26;32;46;6;46;21;32;26;14
2009-06-06;SAMEDI;13;15;32;33;46;10;32;46;13;33;15
2009-06-08;LUNDI;22;25;29;31;41;5;31;29;41;25;22
2009-06-10;MERCREDI;27;42;45;48;49;7;45;42;27;49;48
2009-06-13;SAMEDI;16;24;28;39;46;4;39;16;46;28;24
2009-06-15;LUNDI;11;21;40;41;49;4;49;11;41;21;40
2009-06-17;MERCREDI;3;8;27;37;41;2;3;27;41;8;37
2009-06-20;SAMEDI;21;26;27;33;49;7;26;27;49;21;33
2009-06-22;LUNDI;17;28;36;41;42;4;36;17;42;28;41
2009-06-24;MERCREDI;4;16;17;21;22;1;17;21;22;16;4
2009-06-27;SAMEDI;3;4;6;13;41;8;13;4;3;41;6
2009-06-29;LUNDI;9;10;28;35;43;8;35;43;9;28;10
2009-07-01;MERCREDI;5;13;28;29;34;4;34;5;28;13;29
2009-07-04;SAMEDI;4;8;27;39;43;3;39;4;8;43;27
2009-07-06;LUNDI;12;31;32;44;45;2;12;31;32;44;45
2009-07-08;MERCREDI;4;5;6;10;16;3;16;4;10;6;5
2009-07-11;SAMEDI;5;14;17;35;42;1;14;17;35;5;42
2009-07-13;LUNDI;2;18;20;26;34;1;26;2;20;34;18
2009-07-15;MERCREDI;1;4;14;23;25;10;4;1;23;14;25
2009-07-18;SAMEDI;9;14;26;34;44;9;44;14;26;34;9
2009-07-20;LUNDI;5;23;27;34;44;1;27;23;44;34;5
2009-07-22;MERCREDI;17;24;28;35;45;6;24;35;45;28;17
2009-07-25;SAMEDI;3;14;27;33;40;9;27;40;3;14;33
2009-07-27;LUNDI;7;13;18;47;48;4;18;47;7;13;48
2009-07-29;MERCREDI;3;14;16;25;35;3;16;25;14;35;3
2009-08-01;SAMEDI;10;18;22;44;45;6;44;10;18;45;22
2009-08-03;LUNDI;9;18;26;38;49;8;9;38;18;26;49
2009-08-05;MERCREDI;10;20;29;40;43;7;40;10;29;20;43
2009-08-08;SAMEDI;2;16;20;38;41;9;41;20;16;38;2
2009-08-10;LUNDI;2;5;22;24;31;6;5;22;31;2;24
2009-08-12;MERCREDI;6;17;33;34;39;5;6;33;17;34;39
2009-08-15;SAMEDI;1;24;27;32;41;9;1;41;32;24;27
2009-08-17;LUNDI;2;9;14;17;25;9;2;9;17;14;25
2009-08-19;MERCREDI;7;28;33;35;42;10;35;42;7;33;28
2009-08-22;SAMEDI;8;21;27;29;31;10;31;21;8;27;29
2009-08-24;LUNDI;11;18;22;28;33;2;22;18;33;28;11
2009-08-26;MERCREDI;7;14;31;38;44;1;44;31;7;38;14
2009-08-29;SAMEDI;7;19;23;27;34;7;34;7;27;23;19
2009-08-31;LUNDI;1;5;13;16;20;2;16;13;1;5;20
2009-09-02;MERCREDI;5;6;12;15;17;1;17;5;12;6;15
2009-09-05;SAMEDI;1;17;20;37;44;8;1;37;17;44;20
2009-09-07;LUNDI;4;8;21;31;39;2;8;21;4;31;39
2009-09-09;MERCREDI;1;7;12;22;23;4;1;12;23;22;7
2009-09-12;SAMEDI;4;7;11;29;41;4;41;11;4;29;7
2009-09-14;LUNDI;9;18;22;32;43;1;9;18;43;32;22
2009-09-16;MERCREDI;7;21;25;30;40;1;40;7;21;25;30
2009-09-19;SAMEDI;12;19;27;33;38;7;12;27;38;33;19
2009-09-21;LUNDI;3;4;7;38;46;2;3;4;38;46;7
2009-09-23;MERCREDI;4;5;24;42;47;6;24;42;4;47;5
2009-09-26;SAMEDI;2;21;25;37;43;9;2;37;43;21;25
2009-09-28;LUNDI;3;16;20;30;44;4;30;20;16;3;44
2009-09-30;MERCREDI;2;5;33;35;40;4;33;35;40;5;2
2009-10-03;SAMEDI;7;9;15;47;49;7;47;15;49;7;9
2009-10-05;LUNDI;11;12;20;21;32;4;21;12;20;11;32
2009-10-07;MERCREDI;1;4;12;21;46;8;4;1;21;12;46
2009-10-10;SAMEDI;1;3;16;23;38;3;3;38;1;23;16
2009-10-12;LUNDI;7;28;38;43;48;5;38;7;48;43;28
2009-10-14;MERCREDI;6;24;35;36;42;2;6;35;36;42;24
2009-10-17;SAMEDI;8;12;16;20;49;5;12;49;8;20;16
2009-10-19;LUNDI;3;4;6;11;31;1;4;31;11;3;6
2009-10-21;MERCREDI;1;10;15;26;49;7;10;49;26;15;1
2009-10-24;SAMEDI;15;27;28;38;39;10;39;28;15;38;27
2009-10-26;LUNDI;1;3;42;47;49;7;49;47;42;1;3
2009-10-28;MERCREDI;7;8;11;30;37;3;8;11;7;37;30
2009-10-31;SAMEDI;23;27;30;36;39;2;23;39;36;27;30
2009-11-02;LUNDI;9;17;23;34;40;9;17;34;23;40;9
2009-11-04;MERCREDI;18;19;22;23;33;1;33;18;19;22;23
2009-11-07;SAMEDI;1;3;13;18;41;1;1;41;13;3;18
2009-11-09;LUNDI;1;2;3;29;48;9;3;2;29;48;1
2009-11-11;MERCREDI;7;17;22;41;47;6;41;47;22;17;7
2009-11-14;SAMEDI;16;24;28;39;47;9;39;16;47;28;24
2009-11-16;LUNDI;19;20;27;32;36;7;20;32;36;19;27
2009-11-18;MERCREDI;1;19;20;22;24;6;24;20;22;19;1
2009-11-21;SAMEDI;12;20;33;40;46;6;20;33;46;40;12
2009-11-23;LUNDI;3;12;13;30;37;8;13;12;3;37;30
2009-11-25;MERCREDI;11;14;15;33;39;6;14;33;39;15;11
2009-11-28;SAMEDI;15;35;37;39;41;4;35;37;41;15;39
2009-11-30;LUNDI;7;12;23;27;43;6;12;43;7;23;27
2009-12-02;MERCREDI;10;20;21;28;47;6;10;47;20;28;21
2009-12-05;SAMEDI;7;16;22;28;39;7;28;22;7;16;39
2009-12-07;LUNDI;19;20;33;42;43;5;20;42;43;33;19
2009-12-09;MERCREDI;1;11;22;23;31;1;1;31;11;22;23
2009-12-12;SAMEDI;4;13;18;30;39;1;4;30;13;18;39
2009-12-14;LUNDI;8;13;26;38;46;2;46;8;26;13;38
2009-12-16;MERCREDI;15;23;30;39;49;5;39;15;23;49;30
2009-12-19;SAMEDI;6;9;15;16;40;6;40;15;16;6;9
2009-12-21;LUNDI;3;27;28;38;42;9;38;42;28;3;27
2009-12-23;MERCREDI;15;17;18;24;44;6;24;44;18;17;15
2009-12-26;SAMEDI;6;7;16;25;41;5;7;6;41;25;16
2009-12-28;LUNDI;12;15;23;27;46;6;23;12;15;27;46
2009-12-30;MERCREDI;2;5;15;21;39;10;21;39;5;2;15
2010-01-02;SAMEDI;5;17;23;43;49;4;43;5;23;49;17
2010-01-04;LUNDI;18;21;32;33;41;9;33;21;41;18;32
2010-01-06;MERCREDI;19;31;38;44;49;3;19;49;31;44;38
2010-01-09;SAMEDI;4;14;23;35;46;7;35;4;14;23;46
2010-01-11;LUNDI;6;20;24;31;36;4;24;20;31;36;6
2010-01-13;MERCREDI;4;7;14;31;37;8;31;4;14;37;7
2010-01-16;SAMEDI;3;21;32;33;38;10;21;38;32;3;33
2010-01-18;LUNDI;7;8;22;28;38;10;8;7;22;28;38
2010-01-20;MERCREDI;13;28;37;45;48;9;13;37;48;45;28
2010-01-23;SAMEDI;2;13;24;39;48;1;24;39;2;13;48
2010-01-25;LUNDI;6;8;31;36;45;9;6;8;31;45;36
2010-01-27;MERCREDI;5;10;15;43;45;9;10;15;43;45;5
2010-01-30;SAMEDI;18;21;26;44;47;3;44;26;18;21;47
2010-02-01;LUNDI;1;18;29;39;40;2;29;1;39;40;18
2010-02-03;MERCREDI;7;13;30;44;48;7;44;48;7;30;13
2010-02-06;SAMEDI;5;16;18;34;37;5;16;37;18;5;34
2010-02-08;LUNDI;7;13;24;36;42;4;36;13;24;7;42
2010-02-10;MERCREDI;6;11;12;19;45;10;6;45;19;12;11
2010-02-13;SAMEDI;1;3;7;14;38;5;1;7;38;3;14
2010-02-15;LUNDI;8;15;24;39;48;8;48;39;24;8;15
2010-02-17;MERCREDI;22;23;26;29;40;5;23;40;26;22;29
2010-02-20;SAMEDI;23;34;36;39;49;8;34;49;36;39;23
2010-02-22;LUNDI;11;18;24;41;48;2;41;48;18;11;24
2010-02-24;MERCREDI;1;2;27;31;45;8;45;2;1;27;31
2010-02-27;SAMEDI;2;10;13;35;40;1;13;40;2;10;35
2010-03-01;LUNDI;8;11;19;48;49;7;19;11;8;48;49
2010-03-03;MERCREDI;2;17;23;25;37;7;17;37;23;25;2
2010-03-06;SAMEDI;5;9;18;26;36;9;5;18;26;9;36
2010-03-08;LUNDI;10;11;23;43;49;10;23;11;43;49;10
2010-03-10;MERCREDI;1;13;36;44;48;2;36;13;44;1;48
2010-03-13;SAMEDI;6;8;16;32;37;7;32;37;16;6;8
2010-03-15;LUNDI;1;4;15;18;38;6;18;15;1;4;38
2010-03-17;MERCREDI;1;9;18;24;46;7;46;1;24;18;9
2010-03-20;SAMEDI;2;15;28;36;49;3;15;36;28;49;2
2010-03-22;LUNDI;25;29;34;44;47;9;44;34;25;47;29
2010-03-24;MERCREDI;8;9;28;35;42;6;28;9;35;8;42
2010-03-27;SAMEDI;9;21;42;43;46;6;43;42;9;21;46
2010-03-29;LUNDI;2;34;41;44;46;2;2;44;41;34;46
2010-03-31;MERCREDI;21;28;39;46;49;1;46;28;21;39;49
2010-04-03;SAMEDI;20;35;39;42;48;2;35;39;20;48;42
2010-04-05;LUNDI;17;18;21;36;47;6;17;18;36;21;47
2010-04-07;MERCREDI;2;11;28;33;43;1;28;11;2;33;43
2010-04-10;SAMEDI;13;22;33;36;49;4;33;13;49;36;22
2010-04-12;LUNDI;4;11;31;36;46;10;4;36;11;31;46
2010-04-14;MERCREDI;2;9;12;21;29;7;9;12;29;2;21
2010-04-17;SAMEDI;9;16;24;32;42;3;24;42;16;9;32
2010-04-19;LUNDI;2;17;22;38;44;8;44;22;17;38;2
2010-04-21;MERCREDI;1;9;24;26;35;4;24;26;35;9;1
2010-04-24;SAMEDI;3;17;27;34;41;4;17;34;27;3;41
2010-04-26;LUNDI;4;7;24;29;46;10;29;24;4;46;7
2010-04-28;MERCREDI;9;25;34;38;49;1;34;49;9;25;38
2010-05-01;SAMEDI;3;6;28;39;42;5;39;28;3;42;6
2010-05-03;LUNDI;8;11;12;26;48;6;8;11;12;26;48
2010-05-05;MERCREDI;4;10;18;27;30;1;10;30;18;27;4
2010-05-08;SAMEDI;1;16;29;31;39;2;16;29;31;39;1
2010-05-10;LUNDI;4;10;33;35;41;5;41;4;35;33;10
2010-05-12;MERCREDI;14;22;23;27;28;4;28;22;27;14;23
2010-05-15;SAMEDI;9;27;31;32;44;8;32;31;44;27;9
2010-05-17;LUNDI;9;26;27;29;36;5;9;27;26;29;36
2010-05-19;MERCREDI;12;17;24;30;38;7;24;12;17;38;30
2010-05-22;SAMEDI;2;17;40;46;48;10;2;48;40;46;17
2010-05-24;LUNDI;3;8;12;29;35;1;8;35;29;12;3
2010-05-26;MERCREDI;3;6;22;35;47;1;47;3;35;22;6
2010-05-29;SAMEDI;21;26;33;46;49;1;33;21;49;26;46
2010-05-31;LUNDI;5;32;33;46;49;1;46;49;32;5;33
2010-06-02;MERCREDI;11;14;17;23;43;10;43;11;14;23;17
2010-06-05;SAMEDI;22;31;37;43;45;5;37;43;31;45;22
2010-06-07;LUNDI;26;28;29;42;48;1;29;48;42;28;26
2010-06-09;MERCREDI;14;20;24;44;48;10;14;48;44;24;20
2010-06-12;SAMEDI;15;24;30;43;48;7;30;43;48;24;15
2010-06-14;LUNDI;15;23;45;48;49;2;15;48;23;49;45
2010-06-16;MERCREDI;3;9;15;40;48;10;40;48;15;9;3
2010-06-19;SAMEDI;19;21;23;36;49;4;21;23;19;36;49
2010-06-21;LUNDI;24;35;37;45;48;2;45;35;24;37;48
2010-06-23;MERCREDI;1;16;27;35;41;1;16;27;41;1;35
2010-06-26;SAMEDI;7;11;16;37;47;10;47;16;11;37;7
2010-06-28;LUNDI;12;19;41;42;49;8;41;49;42;19;12
2010-06-30;MERCREDI;14;17;18;28;44;2;14;44;28;18;17
2010-07-03;SAMEDI;2;10;28;33;46;8;10;46;2;33;28
2010-07-05;LUNDI;22;31;33;39;43;10;39;33;43;22;31
2010-07-07;MERCREDI;20;26;31;47;49;10;20;47;49;26;31
2010-07-10;SAMEDI;12;27;30;32;42;7;27;32;12;42;30
2010-07-12;LUNDI;11;15;24;38;47;6;47;11;15;24;38
2010-07-14;MERCREDI;5;11;26;30;48;1;48;30;5;26;11
2010-07-17;SAMEDI;20;22;28;32;47;6;32;28;47;20;22
2010-07-19;LUNDI;10;16;24;27;47;5;27;24;16;10;47
2010-07-21;MERCREDI;3;9;21;43;45;1;43;45;21;3;9
2010-07-24;SAMEDI;7;16;18;33;43;5;18;43;16;7;33
2010-07-26;LUNDI;4;23;37;42;43;7;4;42;37;23;43
2010-07-28;MERCREDI;7;10;25;37;47;10;25;37;7;10;47
2010-07-31;SAMEDI;2;8;25;28;44;4;2;25;44;28;8
2010-08-02;LUNDI;16;32;37;38;44;3;16;32;44;38;37
2010-08-04;MERCREDI;8;9;22;32;46;8;32;8;46;22;9
2010-08-07;SAMEDI;5;6;27;43;46;7;43;6;46;27;5
2010-08-09;LUNDI;7;8;15;18;25;6;7;15;18;8;25
2010-08-11;MERCREDI;5;7;8;22;26;2;7;22;8;26;5
2010-08-14;SAMEDI;9;11;21;27;49;5;21;27;9;49;11
2010-08-16;LUNDI;13;22;28;31;40;9;13;22;40;28;31
2010-08-18;MERCREDI;23;27;43;46;49;6;49;43;46;27;23
2010-08-21;SAMEDI;8;14;29;44;48;7;8;44;14;48;29
2010-08-23;LUNDI;9;16;28;41;49;5;49;41;9;28;16
2010-08-25;MERCREDI;19;23;36;39;49;3;39;49;23;19;36
2010-08-28;SAMEDI;13;16;18;19;20;2;13;16;18;20;19
2010-08-30;LUNDI;3;16;22;28;49;4;22;49;28;3;16
2010-09-01;MERCREDI;16;20;21;33;39;2;20;39;33;21;16
2010-09-04;SAMEDI;9;11;15;42;49;3;11;42;9;49;15
2010-09-06;LUNDI;17;19;22;29;43;8;29;22;17;19;43
2010-09-08;MERCREDI;13;21;24;44;47;3;24;47;21;44;13
2010-09-11;SAMEDI;7;13;36;41;45;5;36;41;45;13;7
2010-09-13;LUNDI;8;25;33;39;43;8;33;39;25;43;8
2010-09-15;MERCREDI;1;8;30;38;40;6;40;1;30;8;38
2010-09-18;SAMEDI;1;7;11;33;43;1;7;43;33;11;1
2010-09-20;LUNDI;1;17;25;37;45;9;1;37;25;45;17
2010-09-22;MERCREDI;2;14;17;37;38;1;37;38;2;14;17
2010-09-25;SAMEDI;5;12;21;29;42;2;42;5;12;29;21
2010-09-27;LUNDI;1;15;22;23;46;9;15;1;23;22;46
2010-09-29;MERCREDI;25;26;32;33;41;3;41;32;33;25;26
2010-10-02;SAMEDI;7;13;16;35;41;1;35;13;16;41;7
2010-10-04;LUNDI;7;9;29;31;46;8;7;46;31;29;9
2010-10-06;MERCREDI;6;25;33;37;43;1;33;6;43;25;37
2010-10-09;SAMEDI;2;17;23;26;43;3;17;43;23;2;26
2010-10-11;LUNDI;1;4;9;20;35;8;9;20;35;4;1
2010-10-13;MERCREDI;9;22;25;33;44;3;33;22;9;44;25
2010-10-16;SAMEDI;1;13;22;37;46;9;37;22;46;13;1
2010-10-18;LUNDI;1;26;29;31;38;5;1;31;38;26;29
2010-10-20;MERCREDI;11;13;18;24;33;7;13;24;33;18;11
2010-10-23;SAMEDI;9;14;16;47;49;7;47;49;9;16;14
2010-10-25;LUNDI;4;10;36;40;41;10;4;36;40;10;41
2010-10-27;MERCREDI;3;13;15;32;46;5;32;13;15;46;3
2010-10-30;SAMEDI;4;14;22;35;38;5;38;35;4;22;14
2010-11-01;LUNDI;1;15;17;24;28;10;17;24;28;1;15
2010-11-03;MERCREDI;6;15;33;46;49;1;46;33;15;6;49
2010-11-06;SAMEDI;7;19;24;35;42;3;24;19;35;7;42
2010-11-08;LUNDI;6;9;14;35;47;9;35;6;9;14;47
2010-11-10;MERCREDI;16;20;39;47;48;4;47;48;20;39;16
2010-11-13;SAMEDI;5;17;25;29;38;2;5;17;25;38;29
2010-11-15;LUNDI;14;17;20;33;47;1;33;47;14;20;17
2010-11-17;MERCREDI;4;9;30;38;46;10;30;38;4;9;46
2010-11-20;SAMEDI;1;11;12;27;29;2;27;12;11;29;1
2010-11-22;LUNDI;4;17;21;23;26;2;4;21;17;23;26
2010-11-24;MERCREDI;14;20;22;32;47;5;32;20;22;47;14
2010-11-27;SAMEDI;9;10;15;43;44;5;9;43;15;44;10
2010-11-29;LUNDI;15;16;23;30;41;8;15;23;16;41;30
2010-12-01;MERCREDI;14;31;32;34;46;3;34;14;32;31;46
2010-12-04;SAMEDI;7;12;15;24;33;6;33;12;24;7;15
2010-12-06;LUNDI;13;25;30;33;36;9;13;30;33;25;36
2010-12-08;MERCREDI;4;15;19;24;44;1;19;15;44;4;24
2010-12-11;SAMEDI;3;9;11;28;38;1;38;3;9;11;28
2010-12-13;LUNDI;6;9;14;40;49;3;6;14;49;40;9
2010-12-15;MERCREDI;4;6;16;28;37;8;37;6;16;28;4
2010-12-18;SAMEDI;11;22;35;40;41;7;35;41;40;11;22
2010-12-20;LUNDI;6;9;13;23;32;4;32;23;9;6;13
2010-12-22;MERCREDI;1;8;18;29;36;9;8;18;36;1;29
2010-12-25;SAMEDI;7;10;16;29;30;5;16;30;29;7;10
2010-12-27;LUNDI;13;30;39;42;44;9;30;44;42;39;13
2010-12-29;MERCREDI;11;15;29;46;47;3;47;15;46;29;11
2011-01-01;SAMEDI;11;34;43;46;49;3;43;49;46;34;11
2011-01-03;LUNDI;10;18;30;34;37;2;34;37;10;18;30
2011-01-05;MERCREDI;4;5;27;32;47;5;27;47;4;5;32
2011-01-08;SAMEDI;12;30;31;34;47;10;47;34;12;30;31
2011-01-10;LUNDI;11;33;35;37;40;4;35;33;40;37;11
2011-01-12;MERCREDI;17;28;30;40;41;7;41;40;30;28;17
2011-01-15;SAMEDI;6;26;29;36;43;8;26;43;6;36;29
2011-01-17;LUNDI;21;24;36;48;49;5;48;49;36;24;21
2011-01-19;MERCREDI;1;4;12;13;36;4;36;4;12;13;1
2011-01-22;SAMEDI;6;8;13;27;31;7;13;27;6;31;8
2011-01-24;LUNDI;3;6;9;39;48;4;3;39;6;48;9
2011-01-26;MERCREDI;6;17;23;45;48;1;23;45;6;48;17
2011-01-29;SAMEDI;12;14;31;33;44;8;14;33;44;31;12
2011-01-31;LUNDI;3;10;13;20;43;5;20;10;13;43;3
2011-02-02;MERCREDI;6;22;23;27;44;3;27;6;44;23;22
2011-02-05;SAMEDI;1;6;22;31;37;7;31;22;37;6;1
2011-02-07;LUNDI;6;8;25;35;49;1;6;8;49;35;25
2011-02-09;MERCREDI;15;27;31;41;43;7;15;31;41;27;43
2011-02-12;SAMEDI;2;4;13;38;45;2;13;38;2;45;4
2011-02-14;LUNDI;9;31;35;40;48;1;31;35;40;9;48
2011-02-16;MERCREDI;8;32;33;35;44;9;44;35;32;8;33
2011-02-19;SAMEDI;1;2;25;32;49;6;25;2;49;32;1
2011-02-21;LUNDI;9;20;21;36;46;6;36;20;21;9;46
2011-02-23;MERCREDI;2;5;21;28;33;10;5;2;33;21;28
2011-02-26;SAMEDI;10;24;26;35;48;1;35;24;10;26;48
2011-02-28;LUNDI;17;20;31;40;49;6;20;49;40;17;31
2011-03-02;MERCREDI;2;3;20;22;40;7;20;22;40;2;3
2011-03-05;SAMEDI;11;27;31;44;45;2;11;45;44;27;31
2011-03-07;LUNDI;7;9;17;23;38;5;7;38;23;9;17
2011-03-09;MERCREDI;3;9;15;29;43;8;9;43;3;29;15
2011-03-12;SAMEDI;15;16;22;33;34;9;15;34;22;33;16
2011-03-14;LUNDI;27;32;34;36;38;7;32;38;36;34;27
2011-03-16;MERCREDI;7;14;20;23;32;4;23;20;32;7;14
2011-03-19;SAMEDI;1;10;11;23;26;8;26;10;11;23;1
2011-03-21;LUNDI;3;23;28;31;40;1;28;23;3;40;31
2011-03-23;MERCREDI;4;10;13;21;24;5;13;4;24;21;10
2011-03-26;SAMEDI;4;17;26;30;34;9;17;26;34;4;30
2011-03-28;LUNDI;10;15;16;43;46;1;15;10;16;46;43
2011-03-30;MERCREDI;15;23;27;29;43;10;15;23;27;43;29
2011-04-02;SAMEDI;5;7;24;35;46;3;5;24;7;46;35
